Лицензия_банк,ИД_1800,дата
"Зеленокумская лицензия № 1239, Ставропольский край","18 048,37",2015-02-01
"Эно лицензия № 1988, Краснодарский край","4 893,30",2015-02-01
"ВРБ лицензия № 3499, Москва и обл.","4 570,92",2015-02-01
"Еврокапитал-Альянс лицензия № 2672, Ярославская обл.","4 451,54",2015-02-01
"Форус Банк лицензия № 3457, Нижегородская обл.","3 979,21",2015-02-01
"Голдман Сакс Банк лицензия № 3490, Москва и обл.","3 648,24",2015-02-01
"Рунэтбанк лицензия № 2829, Москва и обл.","1 716,93",2015-02-01
"Коммерческий Индо Банк лицензия № 3446, Москва и обл.","1 567,48",2015-02-01
"Левобережный лицензия № 1343, Новосибирская обл.","1 443,56",2015-02-01
"ФФин Банк лицензия № 1143, Сахалинская обл.","1 419,68",2015-02-01
"Северстройбанк лицензия № 3507, Вологодская обл.","1 416,46",2015-02-01
"Тимер Банк лицензия № 1581, Татарстан","1 378,16",2015-02-01
"Арксбанк лицензия № 1868, Москва и обл.","1 207,10",2015-02-01
"Росэксимбанк лицензия № 2790, Москва и обл.","1 189,22",2015-02-01
"Оренбург лицензия № 3269, Оренбургская обл.","1 183,38",2015-02-01
"Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.","1 158,25",2015-02-01
"Запсибкомбанк лицензия № 918, Тюменская обл.","1 147,10",2015-02-01
"ИТ Банк лицензия № 2609, Омская обл.","1 128,62",2015-02-01
"Сургутский Центральный Коммерческий Банк лицензия № 684, Ханты-Мансийский АО — Югра","1 127,58",2015-02-01
"Ренессанс Кредит лицензия № 3354, Москва и обл.","1 100,23",2015-02-01
"НКБ лицензия № 2942, Калмыкия","1 051,48",2015-02-01
"Иваново лицензия № 1763, Ивановская обл.",97697,2015-02-01
"Екатеринбург лицензия № 3161, Свердловская обл.",96239,2015-02-01
"Майма лицензия № 1037, Москва и обл.",94163,2015-02-01
"Икано Банк лицензия № 3519, Центр",93072,2015-02-01
"Ю Би Эс Банк лицензия № 3463, Москва и обл.",91897,2015-02-01
"Норвик Банк лицензия № 902, Кировская обл.",87972,2015-02-01
"Гагаринский лицензия № 606, Москва и обл.",85891,2015-02-01
"Нарат лицензия № 1902, Саратовская обл.",84831,2015-02-01
"Тайдон лицензия № 2085, Кемеровская обл.",84774,2015-02-01
"Банк Сберегательно-кредитного сервиса лицензия № 3224, Москва и обл.",81583,2015-02-01
"Оней Банк лицензия № 3516, Москва и обл.",77109,2015-02-01
"Дорис Банк лицензия № 1679, Москва и обл.",76851,2015-02-01
"Кошелев-Банк лицензия № 3300, Самарская обл.",76692,2015-02-01
"Лада-Кредит лицензия № 2668, Москва и обл.",76288,2015-02-01
"Восточно-Европейский Трастовый Банк лицензия № 2253, Москва и обл.",73574,2015-02-01
"Восточный Банк лицензия № 1460, Амурская обл.",70039,2015-02-01
"Пойдем! лицензия № 2534, Москва и обл.",67802,2015-02-01
"Континент Финанс лицензия № 149, Калужская обл.",64748,2015-02-01
"Плюс Банк лицензия № 1189, Москва и обл.",62219,2015-02-01
"Канский лицензия № 860, Красноярский край",54950,2015-02-01
"Конгресс-Банк лицензия № 2330, Москва и обл.",54909,2015-02-01
"Енисей лицензия № 474, Красноярский край",54268,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",52534,2015-02-01
"Банк Кредит Свисс лицензия № 2494, Москва и обл.",51795,2015-02-01
"Акцепт лицензия № 567, Новосибирская обл.",51643,2015-02-01
"Хоум Кредит Банк лицензия № 316, Москва и обл.",50725,2015-02-01
"Нейва лицензия № 1293, Свердловская обл.",48880,2015-02-01
"Живаго-Банк лицензия № 2065, Рязанская обл.",47020,2015-02-01
"Роспромбанк лицензия № 3204, Москва и обл.",46329,2015-02-01
"Капитал лицензия № 575, Москва и обл.",45675,2015-02-01
"Телекоммерц Банк лицензия № 3380, Тульская обл.",45602,2015-02-01
"Центркомбанк лицензия № 2983, Москва и обл.",45395,2015-02-01
"БайкалИнвестБанк лицензия № 1067, Иркутская обл.",45375,2015-02-01
"АйМаниБанк лицензия № 1975, Москва и обл.",42139,2015-02-01
"Севергазбанк лицензия № 2816, Вологодская обл.",41033,2015-02-01
"Национальный Банк «Траст» лицензия № 3279, Москва и обл.",40536,2015-02-01
"Национальный Резервный Банк лицензия № 2170, Москва и обл.",40458,2015-02-01
"Народный Доверительный Банк лицензия № 2374, Москва и обл.",40421,2015-02-01
"Рост Банк лицензия № 2888, Москва и обл.",39629,2015-02-01
"Арсенал лицензия № 3000, Москва и обл.",39417,2015-02-01
"Бинбанк Тверь лицензия № 777, Тверская обл.",39405,2015-02-01
"Чувашкредитпромбанк лицензия № 1280, Чувашия",39405,2015-02-01
"Банк ВВБ лицензия № 1093, Ярославская обл.",38619,2015-02-01
"Нордеа Банк лицензия № 3016, Москва и обл.",38518,2015-02-01
"МВС Банк лицензия № 2407, Дагестан",38426,2015-02-01
"Банк АВБ лицензия № 23, Самарская обл.",38168,2015-02-01
"Почтобанк лицензия № 1788, Пермская обл.",38055,2015-02-01
"Еврокоммерц лицензия № 1777, Москва и обл.",37859,2015-02-01
"Бинбанк Мурманск лицензия № 1276, Мурманская обл.",37685,2015-02-01
"Центрально-Азиатский лицензия № 3037, Хакасия",37070,2015-02-01
"Фольксваген Банк Рус лицензия № 3500, Москва и обл.",37055,2015-02-01
"Миръ лицензия № 3089, Москва и обл.",36204,2015-02-01
"Прио-Внешторгбанк лицензия № 212, Рязанская обл.",35591,2015-02-01
"Межрегиональный Банк Реконструкции лицензия № 2620, Москва и обл.",35194,2015-02-01
"Объединенный Банк Республики лицензия № 1016, Чувашия",34972,2015-02-01
"Европейский Стандарт лицензия № 3200, Кабардино-Балкария",34968,2015-02-01
"ТЭСТ лицензия № 3440, Москва и обл.",34315,2015-02-01
"Фреско Банк лицензия № 1415, Москва и обл.",33840,2015-02-01
"Солидарность (Москва) лицензия № 1555, Москва и обл.",33639,2015-02-01
"Информпрогресс лицензия № 2166, Москва и обл.",33096,2015-02-01
"Челябинвестбанк лицензия № 493, Челябинская обл.",32801,2015-02-01
"Банк Жилищного Финансирования лицензия № 3138, Москва и обл.",32722,2015-02-01
"Экспресс-Волга лицензия № 3085, Саратовская обл.",32508,2015-02-01
"Резерв лицензия № 2364, Челябинская обл.",32268,2015-02-01
"РосинтерБанк лицензия № 226, Москва и обл.",31979,2015-02-01
"Радиотехбанк лицензия № 1166, Нижегородская обл.",31960,2015-02-01
"МАСТ-Банк лицензия № 3267, Москва и обл.",31760,2015-02-01
"Тойота Банк лицензия № 3470, Москва и обл.",31618,2015-02-01
"Кредо Финанс лицензия № 793, Дагестан",31245,2015-02-01
"Финансовый Стандарт лицензия № 1053, Москва и обл.",31128,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",30591,2015-02-01
"К2 Банк лицензия № 2851, Карачаево-Черкесия",30401,2015-02-01
"МТС Банк лицензия № 2268, Москва и обл.",30385,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",30364,2015-02-01
"ВостСибтранскомбанк лицензия № 2731, Иркутская обл.",30344,2015-02-01
"ДельтаКредит лицензия № 3338, Москва и обл.",30307,2015-02-01
"Алма Банк лицензия № 604, Москва и обл.",30125,2015-02-01
"СКБ-Банк лицензия № 705, Свердловская обл.",29508,2015-02-01
"Бенифит-Банк лицензия № 3229, Москва и обл.",28916,2015-02-01
"Дальневосточный Банк лицензия № 843, Приморский край",28895,2015-02-01
"Актив Банк лицензия № 2529, Мордовия",28671,2015-02-01
"Альтернатива лицензия № 3452, Москва и обл.",28221,2015-02-01
"НСТ-Банк лицензия № 1738, Оренбургская обл.",27521,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",27147,2015-02-01
"РусьРегионБанк лицензия № 685, Москва и обл.",26742,2015-02-01
"Примсоцбанк лицензия № 2733, Приморский край",26655,2015-02-01
"Сибэс лицензия № 208, Омская обл.",26308,2015-02-01
"ГринКомБанк лицензия № 1184, Иркутская обл.",26238,2015-02-01
"Русский Международный Банк лицензия № 3123, Москва и обл.",26165,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",26085,2015-02-01
"Эко-Инвест лицензия № 3116, Москва и обл.",25836,2015-02-01
