Date;Œ2;Œ2_SA ;INF_SA;NX;NX_log;NX_growth;usd_rub;usd_rub_std;micex;micex_std;miacr;miacr_std;miacr_amount;net_foreign_assets;net_gov_debt;other_fin_debt;retail_debt;stocks_capital;i_retail_credit;i_retail_deposit;i_retail_spread
01.12.2009;14967.60 ;14477.68 ;0.02;13107;9.480901718;0;29.6;0.18;1433.648;32;4.834783;1.1815124;2643995;14099099;-6769343;516858;3959248;6004665;17.1;6;11.1
01.01.2010;15267.60 ;14477.68 ;0.02;15835;9.669977959;2728;29.83873;0.3747544;1433.648;29.75618;4.004667;0.72498144;2643995;13942674;-5174038;564379;3932605;6219422;17.1;6;11.1
01.02.2010;14904.10 ;14875.45 ;0.02747454;14855;9.606091788;-980;30.15797;0.1772476;1351.718;40.07545;3.832105;0.33091756;2643995;14168103;-5439869;529987;3913803;6279331;17.2;6.2;11
01.03.2010;15236.40 ;15247.12 ;0.024985866;14556;9.585758559;-299;29.5594;0.238446;1410.415;23.77384;3.535455;0.35978469;2643995;14039665;-5008998;508111;3898961;6283624;17.1;6;11.1
01.04.2010;15639.40 ;15570.87 ;0.021233314;13789;9.531626452;-767;29.19324;0.1585727;1478.745;25.82706;3.280455;0.24604447;2643995;13815998;-4916261;507036;3910081;6347867;17.1;6.1;11
01.05.2010;16098.60 ;16074.94 ;0.032372461;12053;9.397068871;-1736;30.43492;0.623096;1322.684;53.69817;2.747368;0.13791471;2643995;14067700;-5051224;507117;3955282;6383875;17.1;6;11.1
01.06.2010;16470.60 ;16419.73 ;0.021449403;12227;9.4114019;174;31.17434;0.3127319;1348.059;27.23523;2.553333;0.22766935;2643995;14454661;-4878647;496365;4014144;6356903;17.2;5.8;11.4
01.07.2010;16900.90 ;16705.01 ;0.017374269;9915;9.201804041;-2312;30.67911;0.3782823;1348.413;41.47539;2.620455;0.25174585;2643995;14813985;-5058887;514056;4072182;6398142;17.1;5.9;11.2
01.08.2010;17063.30 ;17143.81 ;0.026267484;7655;8.943114308;-2260;30.351;0.3509493;1382.495;25.54005;2.577727;0.11334447;2585526;14875154;-5080150;545915;4143125;6478276;17.1;6;11.1
01.09.2010;17437.70 ;17601.05 ;0.026670597;10461;9.255409335;2806;30.81186;0.1825179;1423.344;14.12075;2.63;0.16350331;2585578;14962193;-5042737;544507;4232150;6515395;17.1;6;11.1
01.10.2010;17690.20 ;17902.23 ;0.017111636;10136;9.223848722;-325;30.32284;0.3355997;1493.269;22.5657;2.690476;0.2465051;2525934;15119268;-4955892;566519;4300462;6550820;17.2;6.1;11.1
01.11.2010;17848.30 ;18376.94 ;0.026516519;9962;9.206533134;-174;30.98664;0.2567962;1553.718;16.57128;3.035238;0.51149408;2889035;15435513;-5064750;594690;4382870;6573875;17.3;6;11.3
01.12.2010;18264.90 ;18718.47 ;0.018585161;15551;9.651880224;5589;30.85773;0.3472852;1663.623;18.78218;2.890435;0.4441179;3504491;15558836;-5035006;623184;4448235;6609775;17.4;6;11.4
01.01.2011;20011.90 ;18966.23 ;0.013235757;13362;9.500170136;-2189;29.99192;0.2759547;1742.937;18.49511;2.713333;0.08414839;1284605;15041198;-3318681;648990;4525840;6968692;17.5;6.3;11.2
01.02.2011;19307.70 ;19228.45 ;0.013825625;17953;9.795512511;4591;29.32115;0.180526;1726.183;30.71653;2.814737;0.14276509;1738668;14871616;-3971424;644994;4453491;7046024;17.5;7;10.5
01.03.2011;19536.70 ;19492.06 ;0.01370935;15667;9.659311868;-2286;28.46369;0.217161;1763.038;34.41738;3.080909;0.08750015;1931685;14996172;-4109267;660624;4482456;7112310;17.6;6.8;10.8
01.04.2011;19788.70 ;19688.32 ;0.010068764;18884;9.846070282;3217;28.08402;0.2631308;1796.27;44.31224;3.217619;0.38636647;2361618;15025279;-4329793;705532;4589559;7094461;17.4;6.9;10.5
01.05.2011;20020.80 ;19963.06 ;0.013954535;16109;9.687133401;-2775;27.93428;0.3533026;1635.329;30.372;3.733;0.39931652;2706890;15210685;-4770740;669501;4724991;7160248;17.2;6.8;10.4
01.06.2011;20160.90 ;20135.00 ;0.0086131;16178;9.691407574;69;27.98715;0.1856282;1652.639;22.2775;3.71;0.03741657;2607612;15439127;-4973348;699985;4869224;7169750;17.1;7.1;10
01.07.2011;20721.90 ;20540.20 ;0.020123848;14580;9.587406006;-1598;27.91225;0.2378453;1712.583;12.85767;3.848571;0.34980403;2455078;15599854;-5340697;724055;4990084;7162852;17.3;6.7;10.6
01.08.2011;20828.10 ;20922.88 ;0.018630862;14414;9.575955235;-166;28.74649;0.5569168;1515.479;87.37457;3.937391;0.29327643;3221421;15595019;-5793272;750081;5172080;7245753;17.1;6.5;10.6
01.09.2011;21061.90 ;21268.88 ;0.016536802;16196;9.692519577;1782;30.57173;1.1740665;1469.575;72.60827;4.433636;0.57750321;3952815;16551058;-6161907;750339;5346058;7199527;17;6.7;10.3
01.10.2011;21480.40 ;21777.65 ;0.023921104;16545;9.71383922;349;31.38817;0.8310972;1410.478;75.48102;4.929524;0.43190828;4460170;17514613;-6389813;1111922;5535103;7143925;17;7.2;9.8
01.11.2011;21366.70 ;21998.49 ;0.010140474;16672;9.721485945;127;30.82299;0.4130395;1464.083;40.77995;5.054286;0.25039112;4390003;17036855;-6617987;1099566;5658058;7241748;17.1;7.9;9.2
