"","Date","Ì2","Ì2_SA","INF_SA","NX","NX_log","NX_growth","usd_rub","usd_rub_std","micex","micex_std","miacr","miacr_std","miacr_amount","net_foreign_assets","net_gov_debt","other_fin_debt","retail_debt","stocks_capital","i_retail_credit","i_retail_deposit","i_retail_spread"
"1",2009-12-01,14967.6,14477.6777857158,0.02,13107,9.48090171761955,0,29.6,0.18,1433.648,32,4.834783,1.1815124,2643995,14099099,-6769343,516858,3959248,6004665,17.1,6,11.1
"2",2010-01-01,15267.6,14477.6777857158,0.02,15835,9.66997795897274,2728,29.83873,0.3747544,1433.648,29.75618,4.004667,0.72498144,2643995,13942674,-5174038,564379,3932605,6219422,17.1,6,11.1
"3",2010-02-01,14904.1,14875.4453221079,0.0274745399282579,14855,9.60609178789671,-980,30.15797,0.1772476,1351.718,40.07545,3.832105,0.33091756,2643995,14168103,-5439869,529987,3913803,6279331,17.2,6.2,11
"4",2010-03-01,15236.4,15247.1212073783,0.0249858661184426,14556,9.58575855873205,-299,29.5594,0.238446,1410.415,23.77384,3.535455,0.35978469,2643995,14039665,-5008998,508111,3898961,6283624,17.1,6,11.1
"5",2010-04-01,15639.4,15570.8681188776,0.0212333139545473,13789,9.53162645184174,-767,29.19324,0.1585727,1478.745,25.82706,3.280455,0.24604447,2643995,13815998,-4916261,507036,3910081,6347867,17.1,6.1,11
"6",2010-05-01,16098.6,16074.9354349389,0.0323724606883148,12053,9.39706887058834,-1736,30.43492,0.623096,1322.684,53.69817,2.747368,0.13791471,2643995,14067700,-5051224,507117,3955282,6383875,17.1,6,11.1
"7",2010-06-01,16470.6,16419.733209054,0.0214494033590755,12227,9.41140190014419,174,31.17434,0.3127319,1348.059,27.23523,2.553333,0.22766935,2643995,14454661,-4878647,496365,4014144,6356903,17.2,5.8,11.4
"8",2010-07-01,16900.9,16705.0140644057,0.0173742686144494,9915,9.2018040409539,-2312,30.67911,0.3782823,1348.413,41.47539,2.620455,0.25174585,2643995,14813985,-5058887,514056,4072182,6398142,17.1,5.9,11.2
"9",2010-08-01,17063.3,17143.8127593675,0.0262674843175843,7655,8.94311430809178,-2260,30.351,0.3509493,1382.495,25.54005,2.577727,0.11334447,2585526,14875154,-5080150,545915,4143125,6478276,17.1,6,11.1
"10",2010-09-01,17437.7,17601.0484873052,0.0266705973960117,10461,9.25540933534376,2806,30.81186,0.1825179,1423.344,14.12075,2.63,0.16350331,2585578,14962193,-5042737,544507,4232150,6515395,17.1,6,11.1
"11",2010-10-01,17690.2,17902.2312257159,0.0171116361975781,10136,9.22384872200097,-325,30.32284,0.3355997,1493.269,22.5657,2.690476,0.2465051,2525934,15119268,-4955892,566519,4300462,6550820,17.2,6.1,11.1
"12",2010-11-01,17848.3,18376.9360875201,0.0265165194114074,9962,9.20653313363323,-174,30.98664,0.2567962,1553.718,16.57128,3.035238,0.51149408,2889035,15435513,-5064750,594690,4382870,6573875,17.3,6,11.3
"13",2010-12-01,18264.9,18718.4744014968,0.0185851608967961,15551,9.65188022422134,5589,30.85773,0.3472852,1663.623,18.78218,2.890435,0.4441179,3504491,15558836,-5035006,623184,4448235,6609775,17.4,6,11.4
"14",2011-01-01,20011.9,18966.227580097,0.013235757000602,13362,9.50017013648542,-2189,29.99192,0.2759547,1742.937,18.49511,2.713333,0.08414839,1284605,15041198,-3318681,648990,4525840,6968692,17.5,6.3,11.2
"15",2011-02-01,19307.7,19228.447522516,0.0138256245904258,17953,9.79551251087083,4591,29.32115,0.180526,1726.183,30.71653,2.814737,0.14276509,1738668,14871616,-3971424,644994,4453491,7046024,17.5,7,10.5
"16",2011-03-01,19536.7,19492.0570310784,0.0137093495589657,15667,9.65931186839349,-2286,28.46369,0.217161,1763.038,34.41738,3.080909,0.08750015,1931685,14996172,-4109267,660624,4482456,7112310,17.6,6.8,10.8
"17",2011-04-01,19788.7,19688.3179441025,0.0100687635333294,18884,9.84607028166618,3217,28.08402,0.2631308,1796.27,44.31224,3.217619,0.38636647,2361618,15025279,-4329793,705532,4589559,7094461,17.4,6.9,10.5
"18",2011-05-01,20020.8,19963.0592685219,0.0139545351309049,16109,9.68713340099796,-2775,27.93428,0.3533026,1635.329,30.372,3.733,0.39931652,2706890,15210685,-4770740,669501,4724991,7160248,17.2,6.8,10.4
"19",2011-06-01,20160.9,20135.003090562,0.00861309981237309,16178,9.6914075735779,69,27.98715,0.1856282,1652.639,22.2775,3.71,0.03741657,2607612,15439127,-4973348,699985,4869224,7169750,17.1,7.1,10
"20",2011-07-01,20721.9,20540.1968313465,0.0201238479558232,14580,9.58740600556265,-1598,27.91225,0.2378453,1712.583,12.85767,3.848571,0.34980403,2455078,15599854,-5340697,724055,4990084,7162852,17.3,6.7,10.6
"21",2011-08-01,20828.1,20922.878410337,0.0186308623102622,14414,9.57595523548439,-166,28.74649,0.5569168,1515.479,87.37457,3.937391,0.29327643,3221421,15595019,-5793272,750081,5172080,7245753,17.1,6.5,10.6
"22",2011-09-01,21061.9,21268.8759001839,0.0165368016322246,16196,9.69251957715205,1782,30.57173,1.1740665,1469.575,72.60827,4.433636,0.57750321,3952815,16551058,-6161907,750339,5346058,7199527,17,6.7,10.3
"23",2011-10-01,21480.4,21777.6508871751,0.0239211037470392,16545,9.71383922035571,349,31.38817,0.8310972,1410.478,75.48102,4.929524,0.43190828,4460170,17514613,-6389813,1111922,5535103,7143925,17,7.2,9.8
"24",2011-11-01,21366.7,21998.4865924559,0.0101404741229851,16672,9.72148594455309,127,30.82299,0.4130395,1464.083,40.77995,5.054286,0.25039112,4390003,17036855,-6617987,1099566,5658058,7241748,17.1,7.9,9.2
"25",2011-12-01,21920,22454.1512218213,0.0207134535119185,20293,9.91803127797697,3621,31.49112,0.408965,1411.55,47.95431,5.406818,0.40715489,4828608,17297652,-6537301,1149883,5828212,7332073,17.1,7.9,9.2
"26",2012-01-01,24204.8,22938.1663081189,0.021555706181725,20356,9.92113098770872,63,31.2383,0.5618443,1478.366,25.42605,4.83625,0.49549807,4017975,17391930,-4465223,1177496,6055441,8421687,17.7,8.7,9
"27",2012-02-01,23349.1,23230.5872615248,0.0127482271022858,20181,9.91249684669372,-175,29.88546,0.380344,1562.79,19.97581,4.408,0.25883545,3119401,16910094,-5149634,1135779,6083457,8542965,17.8,7.6,10.2
