;Date;INF_SA;NX_growth;micex_std;miacr_std;miacr_amount;usd_rub_std_diff;micex_return;net_foreign_assets_diff;net_gov_debt_diff;other_fin_debt_diff;retail_debt_SA_DETREND_diff;stocks_capital_diff;i_retail_spread_diff;usd_rub_return;miacr_diff
1;01.01.2010;0.02;0;32;1.1815124;2643995;1.081968889;0;-156425;1595305;47521;33587.30532;214757;0;0.008065203;-0.830116
2;01.02.2010;0.02;2728;29.75618;0.72498144;2643995;1.081968889;0;-156425;1595305;47521;33587.30532;214757;0;0.008065203;-0.830116
3;01.03.2010;0.02747454;-980;40.07545;0.33091756;2643995;-0.527029969;-0.057147919;225429;-265831;-34392;22186.02349;59909;-0.1;0.010698847;-0.172562
4;01.04.2010;0.024985866;-299;23.77384;0.35978469;2643995;0.345270683;0.043423998;-128438;430871;-21876;-14983.52885;4293;0.1;-0.019847821;-0.29665
5;01.05.2010;0.021233314;-767;25.82706;0.24604447;2643995;-0.334974376;0.048446734;-223667;92737;-1075;-19523.94108;64243;-0.1;-0.012387261;-0.255
6;01.06.2010;0.032372461;-1736;53.69817;0.13791471;2643995;2.929402728;-0.105536113;251702;-134963;81;-20743.43746;36008;0.1;0.042533134;-0.533087
7;01.07.2010;0.021449403;174;27.23523;0.22766935;2643995;-0.498099972;0.019184476;386961;172577;-10752;12265.15538;-26972;0.3;0.024295119;-0.194035
8;01.08.2010;0.017374269;-2312;41.47539;0.25174585;2643995;0.209605736;0.0002626;359324;-180240;17691;-1595.165212;41239;-0.2;-0.015885821;0.067122
9;01.09.2010;0.026267484;-2260;25.54005;0.11334447;2585526;-0.072255562;0.025275639;61169;-21263;31859;-1961.800896;80134;-0.1;-0.0106949;-0.042728
10;01.10.2010;0.026670597;2806;14.12075;0.16350331;2585578;-0.479930862;0.029547304;87039;37413;-1408;6075.626193;37119;0;0.015184343;0.052273
11;01.11.2010;0.017111636;-325;22.5657;0.2465051;2525934;0.83872212;0.049127266;157075;86845;22012;1876.724717;35425;-1.78E-15;-0.015871161;0.060476
12;01.12.2010;0.026516519;-174;16.57128;0.51149408;2889035;-0.234813976;0.040480985;316245;-108858;28171;17083.28616;23055;0.2;0.021891089;0.344762
13;01.01.2011;0.018585161;5589;18.78218;0.4441179;3504491;0.35237671;0.070736775;123323;29744;28494;-12289.37146;35900;0.1;-0.00416018;-0.144803
14;01.02.2011;0.013235757;-2189;18.49511;0.08414839;1284605;-0.205394586;0.047675465;-517638;1716325;25806;46452.4647;358917;-0.2;-0.028058124;-0.177102
15;01.03.2011;0.013825625;4591;30.71653;0.14276509;1738668;-0.345812918;-0.00961251;-169582;-652743;-3996;-90179.15415;77332;-0.7;-0.022365024;0.101404
16;01.04.2011;0.01370935;-2286;34.41738;0.08750015;1931685;0.202934757;0.021350575;124556;-137843;15630;46536.65877;66286;0.3;-0.029243737;0.266172
17;01.05.2011;0.010068764;3217;44.31224;0.38636647;2361618;0.211685339;0.018849282;29107;-220526;44908;6837.105982;-17849;-0.3;-0.013338748;0.13671
18;01.06.2011;0.013954535;-2775;30.372;0.39931652;2706890;0.342688123;-0.089597332;185406;-440947;-36031;-8887.34499;65787;-0.1;-0.005331858;0.515381
19;01.07.2011;0.0086131;69;22.2775;0.03741657;2607612;-0.474591469;0.010585026;228442;-202608;30484;8259.556338;9502;-0.4;0.001892657;-0.023
20;01.08.2011;0.020123848;-1598;12.85767;0.34980403;2455078;0.281299393;0.036271684;160727;-367349;24070;-28573.12625;-6898;0.6;-0.002676228;0.138571
21;01.09.2011;0.018630862;-166;87.37457;0.29327643;3221421;1.341508535;-0.115091648;-4835;-452575;26026;5921.527527;82901;0;0.029887952;0.08882
22;01.10.2011;0.016536802;1782;72.60827;0.57750321;3952815;1.108154216;-0.030290093;956039;-368635;258;2741.964361;-46226;-0.3;0.063494361;0.496245
23;01.11.2011;0.023921104;349;75.48102;0.43190828;4460170;-0.292120847;-0.040213667;963555;-227906;361583;31874.64893;-55602;-0.5;0.026705718;0.495888
