Лицензия_банк,ИД_1500,дата
"Веста лицензия № 2368, Москва и обл.","20 029,84",2015-02-01
"Первый Клиентский Банк лицензия № 3436, Москва и обл.","13 664,03",2015-02-01
"Банк Кредит Свисс лицензия № 2494, Москва и обл.","3 571,02",2015-02-01
"Балтика лицензия № 967, Москва и обл.","3 528,94",2015-02-01
"Национальный Клиринговый Центр лицензия № 3466, Москва и обл.","2 793,99",2015-02-01
"Морган Стэнли Банк лицензия № 3456, Москва и обл.","2 282,09",2015-02-01
"РЕСО Кредит лицензия № 3450, Москва и обл.","1 915,43",2015-02-01
"Голдман Сакс Банк лицензия № 3490, Москва и обл.","1 889,71",2015-02-01
"Сервис-Резерв лицензия № 2034, Москва и обл.","1 834,43",2015-02-01
"БКС (БКС Премьер) лицензия № 101, Новосибирская обл.","1 606,35",2015-02-01
"Система лицензия № 2846, Москва и обл.","1 596,88",2015-02-01
"Металлинвестбанк лицензия № 2440, Москва и обл.","1 558,05",2015-02-01
"Интерпромбанк лицензия № 3266, Москва и обл.","1 479,39",2015-02-01
"Коммерцбанк (Евразия) лицензия № 3333, Москва и обл.","1 361,76",2015-02-01
"Бенифит-Банк лицензия № 3229, Москва и обл.","1 142,76",2015-02-01
"АМБ Банк лицензия № 3036, Москва и обл.","1 137,37",2015-02-01
"Дойче Банк лицензия № 3328, Москва и обл.","1 121,66",2015-02-01
"Ситибанк лицензия № 2557, Москва и обл.",99848,2015-02-01
"Кузнецкий Мост лицензия № 2254, Москва и обл.",89401,2015-02-01
"Смолевич лицензия № 1121, Смоленская обл.",84728,2015-02-01
"Нефтепромбанк лицензия № 2156, Москва и обл.",84566,2015-02-01
"Индустриальный Сберегательный Банк лицензия № 3175, Москва и обл.",83972,2015-02-01
"Новикомбанк лицензия № 2546, Москва и обл.",80013,2015-02-01
"Денизбанк Москва лицензия № 3330, Москва и обл.",78043,2015-02-01
"Эйч-Эс-Би-Си Банк (HSBC) лицензия № 3290, Москва и обл.",77843,2015-02-01
"Натиксис Банк лицензия № 3390, Москва и обл.",75484,2015-02-01
"Энерготрансбанк лицензия № 1307, Калининградская обл.",72256,2015-02-01
"Н-Банк лицензия № 3493, Москва и обл.",71786,2015-02-01
"Межрегионбанк лицензия № 1059, Москва и обл.",71293,2015-02-01
"Заубер Банк лицензия № 1614, Санкт-Петербург и обл.",69801,2015-02-01
"Альба Альянс лицензия № 2593, Москва и обл.",69085,2015-02-01
"ИНГ Банк лицензия № 2495, Москва и обл.",66249,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",66136,2015-02-01
"Инвестиционный Союз лицензия № 637, Москва и обл.",61773,2015-02-01
"Агророс лицензия № 2860, Саратовская обл.",61501,2015-02-01
"Развитие-Столица лицензия № 3013, Москва и обл.",61037,2015-02-01
"Альта-Банк лицензия № 2269, Москва и обл.",60971,2015-02-01
"Райффайзенбанк лицензия № 3292, Москва и обл.",57519,2015-02-01
"Таурус Банк лицензия № 655, Москва и обл.",56208,2015-02-01
"Новое Время лицензия № 3492, Москва и обл.",55848,2015-02-01
"Международный Акционерный Банк лицензия № 1987, Москва и обл.",55773,2015-02-01
"Аресбанк лицензия № 2914, Москва и обл.",55224,2015-02-01
"Международный Банк Санкт-Петербурга (МБСП) лицензия № 197, Санкт-Петербург и обл.",54179,2015-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.",53751,2015-02-01
"Бинбанк лицензия № 323, Москва и обл.",53640,2015-02-01
"СБ Банк (Судостроительный банк) лицензия № 2999, Москва и обл.",51426,2015-02-01
"Фондсервисбанк лицензия № 2989, Москва и обл.",51004,2015-02-01
"Пульс Столицы лицензия № 3002, Москва и обл.",50461,2015-02-01
"Анкор Банк лицензия № 889, Татарстан",47281,2015-02-01
"Финпромбанк (ФПБ Банк) лицензия № 2157, Москва и обл.",47047,2015-02-01
"Русский Трастовый Банк лицензия № 1139, Москва и обл.",46858,2015-02-01
"Приско Капитал Банк лицензия № 2537, Москва и обл.",45381,2015-02-01
"АББ лицензия № 2937, Москва и обл.",45001,2015-02-01
"Первобанк лицензия № 3461, Самарская обл.",44941,2015-02-01
"Бинбанк Диджитал лицензия № 2827, Москва и обл.",43343,2015-02-01
"Лидер лицензия № 3304, Москва и обл.",42777,2015-02-01
"Московский Коммерческий Банк лицензия № 3172, Москва и обл.",42220,2015-02-01
"Экспо Финанс лицензия № 2594, Москва и обл.",42008,2015-02-01
"Инвест-Экобанк лицензия № 1956, Санкт-Петербург и обл.",41864,2015-02-01
"Геобанк лицензия № 2027, Москва и обл.",41664,2015-02-01
"ФДБ лицензия № 3071, Москва и обл.",40604,2015-02-01
"Воронеж лицензия № 654, Воронежская обл.",40341,2015-02-01
"Банк «Советский» лицензия № 558, Санкт-Петербург и обл.",40065,2015-02-01
"Меткомбанк (Каменск-Уральский) лицензия № 2443, Свердловская обл.",40058,2015-02-01
"Креди Агриколь КИБ лицензия № 1680, Санкт-Петербург и обл.",39584,2015-02-01
"Бест Эффортс Банк лицензия № 435, Москва и обл.",39384,2015-02-01
"Энергомашбанк лицензия № 52, Санкт-Петербург и обл.",38272,2015-02-01
"Дил-Банк лицензия № 3384, Москва и обл.",38165,2015-02-01
"БНП Париба Банк лицензия № 3407, Москва и обл.",38105,2015-02-01
"Региональный Банк Сбережений лицензия № 3367, Москва и обл.",37975,2015-02-01
"Международный Коммерческий Банк лицензия № 2524, Москва и обл.",37781,2015-02-01
"Региональный Банк Развития лицензия № 2782, Башкортостан",37366,2015-02-01
"ЕвроситиБанк лицензия № 1869, Москва и обл.",37304,2015-02-01
"Башкомснаббанк лицензия № 1398, Башкортостан",37226,2015-02-01
"Риабанк лицензия № 3434, Москва и обл.",36807,2015-02-01
"ББР Банк лицензия № 2929, Москва и обл.",35302,2015-02-01
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",35277,2015-02-01
"Межтрастбанк лицензия № 2493, Москва и обл.",35067,2015-02-01
"Международный Банк Развития лицензия № 2704, Москва и обл.",34978,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",34946,2015-02-01
"Ассоциация лицензия № 732, Нижегородская обл.",34718,2015-02-01
"Эс-Би-Ай Банк (бывш. ЯР-Банк) лицензия № 3185, Москва и обл.",34665,2015-02-01
"Руссобанк лицензия № 2313, Москва и обл.",34606,2015-02-01
"Алеф-Банк лицензия № 2119, Москва и обл.",34567,2015-02-01
"Зернобанк лицензия № 2337, Алтайский край",34017,2015-02-01
"СИАБ лицензия № 3245, Санкт-Петербург и обл.",34002,2015-02-01
"МФБанк лицензия № 3163, Москва и обл.",33790,2015-02-01
"Банк Расчетов и Сбережений лицензия № 2617, Москва и обл.",33696,2015-02-01
"Эксперт Банк лицензия № 2949, Омская обл.",33682,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",33663,2015-02-01
"Интеркоммерц Банк лицензия № 1657, Москва и обл.",32237,2015-02-01
"Пересвет лицензия № 2110, Москва и обл.",32122,2015-02-01
"Пробизнесбанк лицензия № 2412, Москва и обл.",32077,2015-02-01
"ОТП Банк лицензия № 2766, Москва и обл.",31936,2015-02-01
"Банк Финсервис лицензия № 3388, Москва и обл.",31771,2015-02-01
"СЭБ Банк лицензия № 3235, Санкт-Петербург и обл.",31148,2015-02-01
"Международный Финансовый Клуб лицензия № 2618, Москва и обл.",31060,2015-02-01
"Внешпромбанк лицензия № 3261, Москва и обл.",31003,2015-02-01
"Соколовский лицензия № 2830, Москва и обл.",30818,2015-02-01
"Аделантбанк лицензия № 1835, Москва и обл.",30668,2015-02-01
"Промышленно-Финансовое Сотрудничество лицензия № 2410, Москва и обл.",29741,2015-02-01
"МДМ Банк лицензия № 2562, Москва и обл.",29410,2015-02-01
"Росбизнесбанк лицензия № 1405, Москва и обл.",29129,2015-02-01
"Левобережный лицензия № 1343, Новосибирская обл.",29048,2015-02-01
"Анталбанк лицензия № 3115, Москва и обл.",28744,2015-02-01
"Морской Банк лицензия № 77, Москва и обл.",28579,2015-02-01
"Банк Оранжевый лицензия № 1659, Санкт-Петербург и обл.",28477,2015-02-01
"ВРБ лицензия № 3499, Москва и обл.",27695,2015-02-01
