Банк	Лицензия	ликвдата	причина	статус	хреф
Хованский	2145	28.02.2018	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «АКБ «Хованский» к АО «Джей энд Ти Банк». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2187700141935 от 28.02.2018.</dd>]"	ликв.	/banks/memory/bank/?id=10312354
ВТБ 24	1623	01.01.2018	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Банк ВТБ 24» к ПАО «Банк ВТБ». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2187800030010 от 01.01.2018.</dd>]"	ликв.	/banks/memory/bank/?id=10207861
Народный Земельно-Промышленный Банк	2873	13.11.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ОАО «АКБ «Народный Земельно-Промышленный Банк» к АО «КБ «Форбанк».</dd>]"	ликв.	/banks/memory/bank/?id=10112777
Уралприватбанк	153	03.11.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «Уралприватбанк» к ПАО «Бинбанк».</dd>]"	ликв.	/banks/memory/bank/?id=10099516
ИР-Кредит	1724-К	29.05.2017	"[<dd class=""margin-bottom-zero"">Лицензия у ПАО «НКО «ИР-Кредит» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке добровольной ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=9766179
Банк БФА	3038	02.05.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Банк БФА» к ПАО «Банк Уралсиб». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2177700144312 от 02.05.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9722241
Башпромбанк	1006	02.05.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Башпромбанк» к ПАО «Банк Уралсиб». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2177700144290 от 02.05.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9722577
Рапида	3371-К	27.04.2017	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2177700140913 от 27.04.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9722632
Гаранти Банк — Москва	3275	27.04.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «КБ «Гаранти Банк — Москва» к ПАО «Совкомбанк». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2174400032387 от 27.04.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9737998
Меткомбанк (Череповец)	901	27.03.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «Металлургический коммерческий банк» к ПАО «Совкомбанк».</dd>]"	ликв.	/banks/memory/bank/?id=9641070
Бинбанк Столица	3052	24.03.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «Бинбанк Столица» к ПАО «Бинбанк». Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2177700101764 от 24.03.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9656020
Межрегиональный Почтовый Банк	3171	03.03.2017	"[<dd class=""margin-bottom-zero""><p>Лицензия у КБ «Межрегиональный Почтовый Банк» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке добровольной ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</p></dd>]"	ликв.	/banks/memory/bank/?id=9576507
ГПБ-Ипотека	2403	21.02.2017	"[<dd class=""margin-bottom-zero"">Приказом Банка России от 21.02.2017 N ОД-456 аннулирована лицензия на осуществление банковских операций у кредитной организации АО «Банк «ГПБ-Ипотека» (рег. № 2403, г. Москва) с 21.02.2017.<br/>
<br/>
Лицензия у АО «Банк «ГПБ-Ипотека» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке добровольной ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=9558699
Юниаструм Банк	2771	20.01.2017	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ООО «КБ «Юниаструм Банк» к <a href=""http://www.banki.ru/banks/bank/v-express-bank/"">ПАО «Восточный экспресс банк»</a>. Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2172800030434 от 20.01.2017.</dd>]"	ликв.	/banks/memory/bank/?id=9506345
