Банк	Лицензия	ликвдата	причина	статус	хреф
Алжан	2491	02.03.2018	"[<dd class=""margin-bottom-zero"">Осуществленные ООО «КБ «Алжан» во второй половине февраля текущего года крупные сделки, направленные на замещение значительной части активов, привели к потере ликвидности и неспособности банка своевременно исполнять обязательства перед кредиторами, что повлекло возникновение оснований для осуществления мер по предупреждению несостоятельности (банкротства) кредитной организации. Кроме того, ООО КБ «Алжан» неоднократно допускались нарушения требований Федерального закона «О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма» в части полноты и корректности представлявшихся в уполномоченный орган сведений по операциям, подлежащим обязательному контролю.<br/>
<br/>
Руководители и собственники банка не предприняли действенных мер по нормализации его деятельности. Более того, в их действиях прослеживались признаки недобросовестного поведения, выражавшиеся в выводе активов с ущербом для интересов кредиторов. В сложившихся обстоятельствах Банк России принял решение о выводе ООО «КБ «Алжан» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов.</dd>]"	отозв.	/banks/memory/bank/?id=10312268
Мастер-Капитал	3011	20.02.2018	"[<dd class=""margin-bottom-zero"">Деятельность ОАО «АКБ «Мастер-Капитал» была ориентирована на обслуживание интересов его собственника. Кредитование заемщиков, прямо или косвенно связанных с конечными бенефициарами кредитной организации, привело к образованию на балансе банка значительного объема проблемных активов. Надлежащая оценка кредитного риска по требованию надзорного органа выявила существенное снижение размера собственных средств (капитала) банка и наличие оснований для осуществления мер по предупреждению несостоятельности (банкротства), что создало реальную угрозу интересам его кредиторов и вкладчиков.<br/>
<br/>
Руководством и собственниками кредитной организации не предприняты действенные меры по нормализации ее деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе ОАО «АКБ «Мастер-Капитал» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=10291040
Уралкапиталбанк	2519	15.02.2018	"[<dd class=""margin-bottom-zero"">Проблемы в деятельности ООО «УралКапиталБанк» возникли в связи с использованием рискованной бизнес-модели, ориентированной на кредитование компаний, связанных с бизнесом собственника кредитной организации, и, как следствие, формированием на балансе значительного объема активов низкого качества. Надлежащая оценка кредитного риска выявила существенное снижение размера собственных средств (капитала) банка и наличие оснований для осуществления мер по предупреждению несостоятельности (банкротства), что создало реальную угрозу интересам его кредиторов и вкладчиков.<br/>
<br/>
Банк России неоднократно применял в отношении ООО «УралКапиталБанк» меры надзорного реагирования, в том числе вводил ограничения на привлечение вкладов населения.<br/>
<br/>
Руководством и собственниками кредитной организации не предприняты действенные меры по нормализации ее деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе ООО «УралКапиталБанк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=10283277
Финансово-Промышленный Капитал	3295	12.02.2018	"[<dd class=""margin-bottom-zero"">В деятельности ООО «КБ «ФПК» установлены неоднократные нарушения требований законодательства в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма в части достоверности представлявшихся в уполномоченный орган сведений, в том числе по операциям, подлежащим обязательному контролю, а также полноты информации, отражаемой в расчетных документах. Кроме того, в ходе надзора за деятельностью кредитной организации установлены признаки проведения «теневых» валютно-обменных операций, не отражавшихся в бухгалтерском учете и отчетности, представляемой в Банк России.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации ООО «КБ «ФПК» меры надзорного реагирования, включая ограничение на привлечение вкладов населения.<br/>
<br/>
Руководство и собственники банка не предприняли действенных мер по нормализации его деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе ООО «КБ «ФПК» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 7 (за исключением пункта 3 статьи 7), 7.2 Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=10275239
Сибирский Банк Реконструкции и Развития	1284	06.02.2018	"[<dd class=""margin-bottom-zero"">Резкое ухудшение финансового положения кредитной организации ООО «Банк СБРР» произошло в связи с осуществлением в последней декаде января крупных сделок с ценными бумагами, направленных на замену ликвидных активов заведомо безнадежными, а также пропажей из кассы банка значительной суммы денежных средств. Формирование по требованию надзорного органа необходимых резервов на возможные потери по фактически отсутствующим активам выявило полную утрату кредитной организацией собственных средств (капитала). В настоящее время ООО «Банк СБРР» фактически прекратило работу. Таким образом, в деятельности кредитной организации прослеживались признаки недобросовестного поведения руководства, выражавшиеся в проведении сделок, направленных на вывод ликвидных активов с ущербом для интересов кредиторов и вкладчиков.<br/>
<br/>
Банк России неоднократно применял в отношении кредитной организации ООО «Банк СБРР» меры надзорного реагирования, в том числе дважды вводил ограничения и один раз запрет на привлечение вкладов населения.<br/>
<br/>
В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у кредитной организации ООО «Банк СБРР» лицензии на осуществление банковских операций.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, значением всех нормативов достаточности собственных средств (капитала) ниже двух процентов, снижением размера собственных средств (капитала) ниже минимального значения уставного капитала, установленного на дату государственной регистрации кредитной организации, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=10263215
ПартнерКапиталБанк	635	02.02.2018	"[<dd class=""margin-bottom-zero"">Бизнес-модель АО «ПартнерКапиталБанк» была в значительной степени ориентирована на размещение денежных средств в высокорискованные активы, вследствие чего на балансе кредитной организации образовался значительный объем проблемной задолженности. При этом банком осуществлялись «схемные» операции с целью уклонения от исполнения требований надзорного органа о формировании резервов на возможные потери, адекватных принимаемым рискам.<br/>
<br/>
АО «ПартнерКапиталБанк» не соблюдало требования законодательства и нормативных актов Банка России в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма в части представления в уполномоченный орган достоверной информации по операциям, подлежащим обязательному контролю. При этом во второй половине 2017 года кредитной организацией активно проводились сомнительные транзитные операции.<br/>
<br/>
Банк России неоднократно применял в отношении АО «ПартнерКапиталБанк» меры надзорного реагирования, в том числе дважды вводил ограничения на привлечение вкладов населения.<br/>
<br/>
Руководство и собственники банка не предприняли действенных мер по нормализации его деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе АО «ПартнерКапиталБанк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=10256718
Расчетно-Кредитный Банк	103	02.02.2018	"[<dd class=""margin-bottom-zero"">Вследствие неэффективности функционировавшей в ООО «РКБ» системы внутреннего контроля банком допускались многочисленные нарушения законодательства и нормативных актов Банка России в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма, связанные в том числе с неисполнением обязанности по выявлению операций, подлежащих обязательному контролю, а также представлению в уполномоченный орган достоверной информации. Деятельность ООО «РКБ» на протяжении 2016—2017 годов была в значительной степени ориентирована на проведение сомнительных транзитных операций, что свидетельствовало о наличии реальной угрозы интересам кредиторов и вкладчиков.<br/>
<br/>
Банк России неоднократно применял в отношении ООО «РКБ» меры надзорного реагирования.<br/>
<br/>
Руководители и собственники банка не предприняли эффективных мер по нормализации его деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе ООО «РКБ» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 6, 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=10256723
Стар Альянс	3433	25.01.2018	"[<dd class=""margin-bottom-zero"">В деятельности ООО «КБ «Стар Альянс» установлены неоднократные нарушения требований законодательства в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма в части идентификации клиентов, а также полноты и достоверности представлявшихся в уполномоченный орган сведений, в том числе по операциям, подлежащим обязательному контролю. Кроме того, в ходе надзора за деятельностью кредитной организации установлены факты проведения «теневых» валютно-обменных операций, не отражавшихся в бухгалтерском учете и отчетности, представляемой в Банк России.<br/>
<br/>
Руководство и собственники банка не предприняли действенных мер по нормализации его деятельности. В сложившихся обстоятельствах Банк России принял решение о выводе ООО «КБ «Стар Альянс» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=10240410
АлтайБизнес-Банк	2388	19.01.2018	"[<dd class=""margin-bottom-zero"">Проблемы в деятельности АО «АКБ «АлтайБизнес-Банк» возникли в связи с использованием рискованной бизнес-модели, ориентированной на кредитование компаний, связанных с руководством кредитной организации, и, как следствие, формированием на балансе значительного объема активов низкого качества. Надлежащая оценка кредитного риска выявила существенное снижение размера собственных средств (капитала) банка и наличие основания для осуществления мер по предупреждению несостоятельности (банкротства), что создало реальную угрозу интересам его кредиторов и вкладчиков.<br/>
<br/>
Банк России неоднократно применял в отношении АО «АКБ «АлтайБизнес-Банк» меры надзорного реагирования, в том числе дважды вводил ограничения и один раз запрет на привлечение вкладов населения.<br/>
<br/>
Руководством и собственниками кредитной организации не предприняты действенные меры по нормализации ее деятельности. Более того, возникший в 2017 году корпоративный конфликт между акционерами АО «АКБ «АлтайБизнес-Банк» препятствовал стабилизации финансового положения банка, что свидетельствовало о бесперспективности его дальнейшего функционирования.<br/>
<br/>
В сложившихся обстоятельствах Банк России принял решение о выводе АО «АКБ «АлтайБизнес-Банк» с рынка банковских услуг.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.</dd>]"	отозв.	/banks/memory/bank/?id=10228131
Северный Кредит	2398	29.12.2017	"[<dd class=""margin-bottom-zero"">В ходе проводимой Банком России инспекционной проверки АО «КБ «Северный Кредит» установлен факт отсутствия в распоряжении банка первичных документов, подтверждающих его права собственности на приобретенный в конце декабря 2017 года крупный портфель ценных бумаг. Надлежащая оценка принятого риска по указанной сделке выявила полную утрату кредитной организацией собственных средств (капитала).<br/>
<br/>
Договор о приобретении ценных бумаг заключен временно исполняющим обязанности руководителя кредитной организации и имеет признаки «схемных» операций. Таким образом, недобросовестные действия руководства АО «КБ «Северный Кредит», осуществленные в целях крупномасштабного вывода активов, привели к краху финансового учреждения. Информация об указанных фактах, имеющих признаки совершения уголовно наказуемых деяний, будет направлена Банком России в правоохранительные органы.<br/>
<br/>
В связи с возникшим дефицитом ликвидности в последней декаде декабря 2017 года банк оказался неспособен своевременно исполнять обязательства перед кредиторами и вкладчиками.<br/>
<br/>
Кроме того, АО «КБ «Северный Кредит» не соблюдало требования законодательства в области противодействия легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма в части представления в уполномоченный орган информации об операциях, подлежащих обязательному контролю.<br/>
<br/>
Банк России неоднократно применял в отношении АО «КБ «Северный Кредит» меры надзорного реагирования, в том числе дважды вводил ограничения на привлечение вкладов населения.<br/>
<br/>
В сложившихся обстоятельствах Банк России на основании статьи 20 Федерального закона «О банках и банковской деятельности» исполнил обязанность по отзыву у АО «КБ «Северный Кредит» лицензии на осуществление банковских операций.<br/>
<br/>
Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 6, 7 (за исключением пункта 3 статьи 7) Федерального закона «О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», значением всех нормативов достаточности собственных средств (капитала) ниже двух процентов, снижением размера собственных средств (капитала) ниже минимального значения уставного капитала, установленного на дату государственной регистрации кредитной организации, учитывая неоднократное применение в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».</dd>]"	отозв.	/banks/memory/bank/?id=10201841
