Уникальные банки
Традо-Банк лицензия № 1065, Москва и обл.
Ноосфера лицензия № 2650, Республика Алтай
Сириус лицензия № 3506, Москва и обл.
2
Волга-Кредит лицензия № 1153, Самарская обл.
Кубань Кредит лицензия № 2518, Краснодарский край
ФорБанк лицензия № 2063, Москва и обл.
Долинск лицензия № 857, Сахалинская обл.
Донинвест лицензия № 1617, Ростовская обл.
Челиндбанк лицензия № 485, Челябинская обл.
Интерпромбанк лицензия № 3266, Москва и обл.
Коммерческий Индо Банк лицензия № 3446, Москва и обл.
Энергомашбанк лицензия № 52, Санкт-Петербург и обл.
Верхне-Волжский Нефтебанк лицензия № 3033, Нижегородская обл.
Лада-Кредит лицензия № 2668, Москва и обл.
Республиканский Кредитный Альянс лицензия № 3017, Москва и обл.
Еврокапитал-Альянс лицензия № 2672, Дагестан
ДельтаКредит лицензия № 3338, Москва и обл.
Финанс Бизнес Банк лицензия № 520, Москва и обл.
Дж. П. Морган Банк лицензия № 2629, Москва и обл.
Мастер-Капитал лицензия № 3011, Москва и обл.
Банк Оранжевый лицензия № 1659, Санкт-Петербург и обл.
Софрино лицензия № 2972, Москва и обл.
Великие Луки Банк лицензия № 598, Псковская обл.
Межпромбанк Плюс лицензия № 3282, Москва и обл.
ИпоТек Банк — Северо-Западный филиал лицензия № 0, Россия
Объединенная Расчетная Система лицензия № 3342, Москва и обл.
Северный Кредит лицензия № 2398, Вологодская обл.
Русский Международный Банк лицензия № 3123, Москва и обл.
МВС Банк лицензия № 2407, Дагестан
Промэнергобанк лицензия № 2728, Вологодская обл.
Ярсоцбанк лицензия № 828, Ярославская обл.
Аспект лицензия № 608, Москва и обл.
Джаст Банк лицензия № 3503, Москва и обл.
Северная Казна лицензия № 2083, Свердловская обл.
Роял Кредит Банк лицензия № 783, Хабаровский край
Руссобанк лицензия № 2313, Москва и обл.
КБЦ лицензия № 914, Тверская обл.
Бузулукбанк лицензия № 1282, Оренбургская обл.
Газпромбанк лицензия № 354, Москва и обл.
Акибанк лицензия № 2587, Татарстан
Башинвестбанк лицензия № 2189, Башкортостан
Мосуралбанк лицензия № 2468, Москва и обл.
Кодекс лицензия № 2746, Москва и обл.
ТЭМБР-Банк лицензия № 2764, Москва и обл.
Черноморский банк развития и реконструкции лицензия № 3527, Симферополь
Инвестиционный Республиканский Банк лицензия № 2571, Москва и обл.
Депозитный Кредитный Дом лицензия № 3474, Москва и обл.
Универсалтраст лицензия № 3402, Москва и обл.
Мультибанк лицензия № 2235, Москва и обл.
Алданзолотобанк лицензия № 854, Саха (Якутия)
Межрегиональный промышленно-строительный банк лицензия № 752, Мордовия
Дорис Банк лицензия № 1679, Москва и обл.
Южный Региональный Банк лицензия № 3015, Ростовская обл.
Эс-Би-Ай Банк (бывш. ЯР-Банк) лицензия № 3185, Москва и обл.
Вэлтон Банк лицензия № 1105, Белгородская обл.
Банк Реалист (бывш. МПБ) лицензия № 2646, Москва и обл.
Фольксваген Банк Рус лицензия № 3500, Москва и обл.
0
Конгресс-Банк лицензия № 2330, Москва и обл.
Гаранти Банк — Москва лицензия № 3275, Москва и обл.
Восточный Банк лицензия № 1460, Амурская обл.
Компания Розничного Кредитования лицензия № 3385, Москва и обл.
Химик лицензия № 1114, Нижегородская обл.
Тревел Банк лицензия № 531, Москва и обл.
Национальный Расчетный Депозитарий лицензия № 3294, Москва и обл.
Эл Банк лицензия № 1025, Республика Алтай
Сургутнефтегазбанк лицензия № 588, Тюменская обл.
ПрестижКредитБанк лицензия № 2922, Дагестан
Эльбин лицензия № 2267, Дагестан
Мегаполис лицензия № 3265, Чувашия
Новый Символ лицензия № 370, Москва и обл.
Европейский Стандарт лицензия № 3200, Кабардино-Балкария
Бизнесбанк лицензия № 2862, Дагестан
Банк Агора лицензия № 3231, Москва и обл.
Максимум лицензия № 466, Ростовская обл.
Риал-Кредит лицензия № 3393, Москва и обл.
Спутник лицензия № 1071, Оренбургская обл.
Азия Банк лицензия № 3183, Москва и обл.
Дальневосточный Банк лицензия № 843, Приморский край
Диг-Банк лицензия № 2423, Северная Осетия — Алания
СДМ-Банк лицензия № 1637, Москва и обл.
Унифондбанк лицензия № 3416, Москва и обл.
Промсбербанк лицензия № 1043, Москва и обл.
Берейт лицензия № 3505, Санкт-Петербург и обл.
АлтайБизнес-Банк лицензия № 2388, Алтайский край
Екатерининский лицензия № 2167, Москва и обл.
Финансово-Расчетный Центр лицензия № 3319, Нижегородская обл.
Центр Межбанковских Расчетов лицензия № 3400, Москва и обл.
Глобал Эксчейндж лицензия № 3533, Москва и обл.
